PCC,SE PCC,dummies,Zscore,NPL,profitability,profit_volat,lnobs,citations,firstpub,DtoD,quadratic,Lerner,Boone,Hstatistic,Concentration,HHI,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,endogeneity,macro,someAveraged,T,sampleyear,reviewed_journal,regulation,global,ownership,IFrecursive,capitalization
-0.084598508,0.038380476,1,0,0,0,0,6.530877628,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,1,1,1,0.029,0
-0.079453112,0.031891692,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.096491346,0.03184355,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.103672265,0.031820441,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.10634438,0.031811415,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.106266554,0.031811681,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.05927759,0.031936576,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
0.000153485,0.03200922,1,0,0,0,0,6.896694332,0.398011002,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.063533091,0.029648776,1,0,0,0,0,7.042286172,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.0553514,0.02966325,1,0,0,0,0,7.042286172,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.051502885,0.03280072,1,0,0,0,0,6.843749949,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.052116959,0.032080971,1,0,0,0,0,6.887552572,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.056624975,0.03723387,1,0,0,0,0,6.593044534,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.064085524,0.031910743,1,0,0,0,0,6.896694332,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
-0.118934009,0.049707281,1,0,0,0,0,6.01615716,0.398011002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.772588722,0,0,0,1,0,0.029,0
